iter	Passed	Remaining
415	2586	3630
416	2591	3623
417	2595	3613
418	2598	3603
419	2601	3593
420	2606	3584
421	2608	3572
422	2610	3560
423	2612	3548
424	2615	3539
425	2624	3536
426	2628	3527
427	2631	3517
428	2635	3508
429	2637	3496
430	2639	3484
431	2641	3473
432	2644	3463
433	2650	3457
434	2655	3449
435	2659	3440
436	2661	3429
437	2663	3418
438	2665	3406
439	2668	3396
440	2674	3389
441	2679	3382
442	2682	3372
443	2685	3362
444	2688	3352
445	2690	3341
446	2693	3331
447	2695	3320
448	2700	3314
449	2715	3319
450	2722	3314
451	2726	3305
452	2728	3294
453	2730	3284
454	2737	3278
455	2740	3269
456	2744	3261
457	2749	3253
458	2751	3243
459	2753	3232
460	2756	3222
461	2760	3215
462	2765	3207
463	2768	3198
464	2772	3189
465	2774	3179
466	2776	3169
467	2781	3161
468	2786	3154
469	2789	3145
470	2796	3141
471	2799	3131
472	2801	3121
473	2804	3112
474	2814	3110
475	2821	3105
476	2850	3125
477	2854	3117
478	2857	3107
479	2860	3098
480	2862	3088
481	2864	3078
482	2869	3071
483	2906	3098
484	2920	3101
485	2927	3095
486	2930	3086
487	2932	3076
488	2941	3074
489	2946	3066
490	2952	3060
491	2955	3051
492	2960	3044
493	2964	3036
494	2967	3027
495	2970	3018
496	2972	3008
497	2977	3001
498	2989	3001
499	3029	3029
500	3032	3020
501	3035	3011
502	3038	3001
503	3048	2999
504	3055	2994
505	3060	2987
506	3071	2986
507	3077	2980
508	3089	2980
509	3102	2980
510	3118	2984
511	3136	2989
512	3142	2982
513	3149	2977
514	3156	2972
515	3175	2978
516	3180	2970
517	3185	2963
518	3204	2969
519	3207	2961
520	3214	2955
521	3220	2948
522	3223	2939
523	3237	2941
524	3254	2944
525	3269	2946
526	3281	2945
527	3285	2936
528	3287	2926
529	3289	2916
530	3294	2909
531	3301	2904
532	3307	2897
533	3310	2888
534	3312	2879
535	3314	2869
536	3318	2860
537	3322	2853
538	3329	2847
539	3334	2840
540	3336	2830
541	3338	2821
542	3346	2816
543	3350	2808
544	3359	2804
545	3361	2795
546	3364	2785
547	3367	2777
548	3372	2770
549	3376	2762
550	3380	2754
551	3384	2746
552	3386	2737
553	3388	2727
554	3394	2721
555	3398	2713
556	3402	2706
557	3410	2701
558	3413	2692
559	3414	2683
560	3419	2676
561	3424	2668
562	3426	2659
563	3432	2653
564	3435	2645
565	3437	2635
566	3439	2626
567	3448	2623
568	3452	2615
569	3481	2626
570	3483	2617
571	3485	2608
572	3497	2606
573	3503	2599
574	3510	2594
575	3514	2586
576	3516	2577
577	3518	2568
578	3520	2559
579	3536	2560
580	3547	2558
581	3550	2550
582	3553	2541
583	3555	2532
584	3558	2524
585	3561	2516
586	3570	2511
587	3574	2504
588	3576	2495
589	3583	2490
590	3592	2486
591	3596	2478
592	3598	2469
593	3600	2461
594	3602	2452
595	3611	2448
596	3620	2444
597	3628	2439
598	3630	2430
599	3635	2423
600	3637	2415
601	3643	2408
602	3651	2403
603	3656	2397
604	3666	2393
605	3668	2385
606	3671	2377
607	3676	2370
608	3684	2365
609	3689	2358
610	3695	2352
611	3701	2346
612	3703	2338
613	3705	2329
614	3708	2321
615	3713	2315
616	3717	2307
617	3726	2303
618	3729	2295
619	3733	2288
620	3736	2280
621	3738	2271
622	3741	2263
623	3746	2257
624	3752	2251
625	3756	2244
626	3760	2236
627	3762	2228
628	3765	2220
629	3768	2212
630	3771	2205
631	3777	2199
632	3784	2193
633	3791	2188
634	3793	2180
635	3796	2172
636	3803	2167
637	3807	2160
638	3812	2153
639	3817	2147
640	3820	2139
641	3825	2132
642	3830	2126
643	3835	2120
644	3843	2115
645	3848	2108
646	3850	2101
647	3863	2098
648	3866	2091
649	3872	2085
650	3876	2078
651	3881	2071
652	3884	2064
653	3887	2056
654	3891	2049
655	3897	2043
656	3901	2036
657	3906	2030
658	3910	2023
659	3912	2015
660	3916	2008
661	3922	2002
662	3926	1995
663	3930	1989
664	3935	1982
665	3938	1975
666	3940	1967
667	3945	1960
668	3948	1953
669	3953	1947
670	3957	1940
671	3961	1933
672	3963	1926
673	3966	1918
674	3969	1911
675	3972	1904
676	3977	1897
677	3980	1890
678	3986	1884
679	3989	1877
680	3992	1870
681	3995	1862
682	3999	1856
683	4004	1849
684	4011	1844
685	4016	1838
686	4019	1831
687	4023	1824
688	4027	1817
689	4033	1812
690	4038	1806
691	4043	1799
692	4046	1792
693	4049	1785
694	4053	1778
695	4063	1775
696	4069	1769
697	4074	1762
698	4079	1756
699	4084	1750
700	4092	1745
701	4098	1739
702	4101	1732
703	4104	1725
704	4108	1719
705	4123	1717
706	4135	1713
707	4139	1707
708	4142	1700
709	4145	1693
710	4151	1687
711	4155	1681
712	4161	1675
713	4167	1669
714	4171	1662
715	4183	1659
716	4195	1655
717	4203	1650
718	4206	1643
719	4209	1636
720	4213	1630
721	4221	1625
722	4225	1618
723	4230	1612
724	4233	1605
725	4237	1599
726	4242	1593
727	4248	1587
728	4253	1581
729	4259	1575
730	4263	1568
731	4266	1562
732	4269	1555
733	4274	1548
734	4279	1542
735	4286	1537
736	4290	1530
737	4295	1524
738	4299	1518
739	4304	1512
740	4308	1505
741	4313	1499
742	4318	1493
743	4322	1487
744	4325	1480
745	4328	1473
746	4332	1467
747	4339	1461
748	4344	1456
749	4351	1450
750	4356	1444
751	4359	1437
752	4363	1431
753	4368	1425
754	4372	1418
755	4379	1413
756	4384	1407
757	4389	1401
758	4392	1394
759	4395	1387
760	4399	1381
761	4405	1375
762	4411	1370
763	4417	1364
764	4420	1357
765	4423	1351
766	4431	1346
767	4436	1340
768	4440	1333
769	4445	1327
770	4449	1321
771	4454	1315
772	4458	1309
773	4462	1302
774	4469	1297
775	4474	1291
776	4476	1284
777	4480	1278
778	4483	1272
779	4489	1266
780	4495	1260
781	4500	1254
782	4506	1248
783	4509	1242
784	4512	1235
785	4517	1230
786	4524	1224
787	4530	1218
788	4535	1212
789	4538	1206
790	4541	1199
791	4545	1193
792	4550	1187
793	4554	1181
794	4561	1176
795	4566	1170
796	4568	1163
797	4572	1157
798	4577	1151
799	4582	1145
800	4589	1140
801	4677	1154
802	4681	1148
803	4690	1143
804	4701	1138
805	4715	1135
806	4764	1139
807	4768	1133
808	4782	1129
809	4794	1124
810	4798	1118
811	4802	1111
812	4818	1108
813	4828	1103
814	4833	1097
815	4837	1090
816	4849	1086
817	4864	1082
818	4869	1076
819	4873	1069
820	4884	1064
821	4887	1058
822	4904	1054
823	4909	1048
824	4914	1042
825	4924	1037
826	4931	1031
827	4936	1025
828	4940	1018
829	4942	1012
830	4944	1005
831	4947	999
832	4952	992
833	4959	987
834	4963	980
835	4968	974
836	4970	968
837	4972	961
838	4974	954
839	4978	948
840	4984	942
841	4988	936
842	4993	929
843	4996	923
844	4998	916
845	5000	910
846	5005	904
847	5012	898
848	5017	892
849	5021	886
850	5023	879
851	5025	873
852	5027	866
853	5032	860
854	5040	854
855	5044	848
856	5052	843
857	5054	836
858	5056	830
859	5060	823
860	5064	817
861	5071	811
862	5077	806
863	5079	799
864	5082	793
865	5088	787
866	5092	781
867	5096	774
868	5099	768
869	5102	762
870	5104	756
871	5106	749
872	5109	743
873	5116	737
874	5120	731
875	5123	725
876	5129	719
877	5133	713
878	5135	706
879	5138	700
880	5140	694
881	5143	688
882	5147	682
883	5153	676
884	5156	670
885	5159	663
886	5163	657
887	5166	651
888	5168	645
889	5172	639
890	5177	633
891	5180	627
892	5185	621
893	5189	615
894	5191	609
895	5193	602
896	5195	596
897	5197	590
898	5204	584
899	5207	578
900	5211	572
901	5215	566
902	5219	560
903	5222	554
904	5224	548
905	5227	542
906	5230	536
907	5235	530
908	5238	524
909	5244	518
910	5249	512
911	5252	506
912	5262	501
913	5271	495
914	5275	490
915	5278	484
916	5281	478
917	5284	472
918	5287	466
919	5294	460
920	5298	454
921	5303	448
922	5305	442
923	5308	436
924	5312	430
925	5316	424
926	5321	419
927	5326	413
928	5332	407
929	5334	401
930	5337	395
931	5340	389
932	5346	383
933	5351	378
934	5355	372
935	5359	366
936	5362	360
937	5365	354
938	5367	348
939	5370	342
940	5375	337
941	5379	331
942	5387	325
943	5390	319
944	5393	313
945	5396	308
946	5400	302
947	5404	296
948	5410	290
949	5414	284
950	5418	279
951	5422	273
952	5426	267
953	5432	261
954	5436	256
955	5441	250
956	5444	244
957	5448	238
958	5450	233
959	5453	227
960	5460	221
961	5465	215
962	5469	210
963	5475	204
964	5478	198
965	5481	192
966	5484	187
967	5486	181
968	5490	175
969	5494	169
970	5501	164
971	5506	158
972	5511	152
973	5514	147
974	5517	141
975	5521	135
976	5527	130
977	5532	124
978	5535	118
979	5538	113
980	5541	107
981	5544	101
982	5551	96
983	5556	90
984	5561	84
985	5565	79
986	5568	73
987	5571	67
988	5574	62
989	5578	56
990	5582	50
991	5590	45
992	5597	39
993	5618	33
994	5622	28
995	5625	22
996	5628	16
997	5632	11
998	5636	5
999	5643	0
